"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2024","10,550.0","10,700.0","10,750.0","10,550.0","1.65M","-0.47%"
"01/18/2024","10,600.0","10,500.0","10,750.0","10,500.0","1.38M","0.95%"
"01/17/2024","10,500.0","10,550.0","10,650.0","10,450.0","1.44M","-0.47%"
"01/16/2024","10,550.0","10,650.0","10,650.0","10,350.0","1.37M","0.48%"
"01/15/2024","10,500.0","10,700.0","10,800.0","10,500.0","1.20M","-1.41%"
"01/12/2024","10,650.0","10,550.0","11,150.0","10,500.0","2.75M","0.00%"
"01/11/2024","10,650.0","10,700.0","10,750.0","10,500.0","2.56M","0.00%"
"01/10/2024","10,650.0","10,800.0","10,900.0","10,600.0","2.75M","-1.39%"
"01/09/2024","10,800.0","11,100.0","11,150.0","10,800.0","4.45M","-2.70%"
"01/08/2024","11,100.0","11,100.0","11,100.0","10,950.0","3.45M","0.91%"
"01/05/2024","11,000.0","10,550.0","11,100.0","10,550.0","7.19M","4.27%"
"01/04/2024","10,550.0","10,600.0","10,650.0","10,500.0","4.52M","0.48%"
"01/03/2024","10,500.0","10,250.0","10,500.0","10,150.0","3.11M","2.44%"
"01/02/2024","10,250.0","10,500.0","10,500.0","10,200.0","4.47M","-1.44%"
"12/29/2023","10,400.0","10,500.0","10,550.0","10,300.0","1.76M","0.00%"
"12/28/2023","10,400.0","10,200.0","10,500.0","10,050.0","4.26M","1.96%"
"12/27/2023","10,200.0","10,250.0","10,400.0","10,200.0","2.04M","-0.49%"
"12/26/2023","10,250.0","10,150.0","10,400.0","10,150.0","4.70M","0.99%"
"12/25/2023","10,150.0","10,000.0","10,250.0","9,990.0","3.47M","1.70%"
"12/22/2023","9,980.0","10,100.0","10,200.0","9,970.0","2.03M","-0.70%"
"12/21/2023","10,050.0","9,950.0","10,250.0","9,900.0","2.36M","0.80%"
"12/20/2023","9,970.0","9,870.0","9,990.0","9,800.0","1.16M","1.01%"
"12/19/2023","9,870.0","10,000.0","10,050.0","9,700.0","2.44M","-0.50%"
"12/18/2023","9,920.0","10,000.0","10,050.0","9,880.0","1.78M","-0.70%"
