"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2024","26,000.00","26,150.00","26,250.00","25,850.00","2.09M","-0.57%"
"01/18/2024","26,150.00","26,200.00","26,300.00","26,050.00","1.74M","-0.38%"
"01/17/2024","26,250.00","26,100.00","26,400.00","26,000.00","2.75M","0.19%"
"01/16/2024","26,200.00","25,550.00","26,200.00","25,500.00","3.48M","2.34%"
"01/15/2024","25,600.00","25,650.00","25,650.00","25,450.00","2.12M","0.00%"
"01/12/2024","25,600.00","25,550.00","25,600.00","25,400.00","1.91M","0.00%"
"01/11/2024","25,600.00","25,600.00","25,700.00","25,450.00","2.63M","0.20%"
"01/10/2024","25,550.00","25,550.00","25,700.00","25,050.00","1.91M","-0.39%"
"01/09/2024","25,650.00","25,800.00","25,850.00","25,450.00","2.26M","-0.19%"
"01/08/2024","25,700.00","25,800.00","25,800.00","25,500.00","1.97M","-0.39%"
"01/05/2024","25,800.00","26,200.00","26,200.00","25,550.00","2.47M","-1.71%"
"01/04/2024","26,250.00","26,350.00","26,450.00","26,100.00","3.19M","-0.38%"
"01/03/2024","26,350.00","25,850.00","26,600.00","25,750.00","4.26M","1.93%"
"01/02/2024","25,850.00","25,800.00","26,000.00","25,650.00","2.54M","0.00%"
"12/29/2023","25,850.00","25,850.00","25,900.00","25,600.00","1.86M","0.19%"
"12/28/2023","25,800.00","25,950.00","26,000.00","25,650.00","1.78M","-0.19%"
"12/27/2023","25,850.00","25,550.00","25,850.00","25,550.00","2.85M","0.78%"
"12/26/2023","25,650.00","25,650.00","25,700.00","25,550.00","2.27M","0.39%"
"12/25/2023","25,550.00","25,550.00","25,700.00","25,400.00","1.96M","0.00%"
"12/22/2023","25,550.00","25,650.00","25,700.00","25,350.00","2.04M","-0.20%"
"12/21/2023","25,600.00","25,250.00","25,600.00","25,150.00","2.82M","1.19%"
"12/20/2023","25,300.00","25,300.00","25,450.00","24,900.00","2.66M","-0.39%"
"12/19/2023","25,400.00","25,450.00","25,450.00","25,000.00","2.35M","0.20%"
"12/18/2023","25,350.00","25,200.00","25,400.00","25,150.00","2.53M","-0.20%"
"12/15/2023","25,400.00","25,250.00","25,500.00","25,000.00","2.33M","0.00%"
"12/14/2023","25,400.00","25,500.00","25,600.00","25,100.00","2.64M","-0.39%"
"12/13/2023","25,500.00","25,750.00","25,900.00","25,150.00","2.69M","-0.78%"
"12/12/2023","25,700.00","25,600.00","25,850.00","25,250.00","2.40M","0.00%"
"12/11/2023","25,700.00","26,150.00","26,300.00","25,350.00","3.41M","-2.10%"
"12/08/2023","26,250.00","26,200.00","26,450.00","26,000.00","2.80M","-0.38%"
"12/07/2023","26,350.00","26,000.00","26,600.00","25,550.00","4.10M","1.93%"
"12/06/2023","25,850.00","25,800.00","25,850.00","25,500.00","2.41M","0.39%"
"12/05/2023","25,750.00","25,750.00","26,000.00","25,700.00","2.43M","-0.58%"
"12/04/2023","25,900.00","25,600.00","25,900.00","25,550.00","3.87M","1.37%"
"12/01/2023","25,550.00","25,450.00","25,650.00","25,000.00","3.15M","0.59%"
"11/30/2023","25,400.00","25,550.00","25,600.00","25,300.00","2.09M","-0.59%"
"11/29/2023","25,550.00","25,250.00","25,600.00","25,200.00","2.89M","1.59%"
"11/28/2023","25,150.00","25,250.00","25,250.00","24,600.00","2.35M","-0.79%"
"11/27/2023","25,350.00","25,850.00","25,900.00","25,300.00","2.44M","-1.55%"
"11/24/2023","25,750.00","25,350.00","25,750.00","24,850.00","3.81M","0.00%"
"11/23/2023","25,750.00","26,050.00","26,550.00","25,750.00","5.16M","-0.58%"
"11/22/2023","25,900.00","25,850.00","25,900.00","25,550.00","2.90M","0.58%"
"11/21/2023","25,750.00","25,700.00","25,850.00","25,500.00","2.39M","0.98%"
"11/20/2023","25,500.00","25,250.00","25,750.00","25,200.00","3.03M","-0.58%"
"11/17/2023","25,650.00","25,550.00","25,950.00","25,150.00","4.24M","0.20%"
"11/16/2023","25,600.00","25,600.00","25,850.00","25,150.00","3.27M","-0.78%"
"11/15/2023","25,800.00","26,200.00","26,300.00","25,700.00","2.78M","-0.96%"
"11/14/2023","26,050.00","25,550.00","26,150.00","25,050.00","3.74M","0.97%"
"11/13/2023","25,800.00","25,900.00","26,250.00","25,400.00","4.49M","0.00%"
"11/10/2023","25,800.00","25,700.00","26,000.00","25,600.00","5.08M","0.58%"
"11/09/2023","25,650.00","24,200.00","25,650.00","23,850.00","7.65M","6.88%"
"11/08/2023","24,000.00","23,600.00","24,000.00","23,550.00","3.89M","1.48%"
"11/07/2023","23,650.00","23,550.00","23,850.00","23,400.00","2.68M","0.00%"
"11/06/2023","23,650.00","23,800.00","23,850.00","23,250.00","2.05M","-0.21%"
"11/03/2023","23,700.00","23,500.00","23,750.00","23,400.00","2.66M","0.64%"
"11/02/2023","23,550.00","23,250.00","23,550.00","23,150.00","2.91M","1.95%"
"11/01/2023","23,100.00","22,700.00","23,100.00","22,600.00","1.80M","0.65%"
"10/31/2023","22,950.00","22,700.00","23,050.00","22,350.00","2.62M","0.00%"
"10/30/2023","22,950.00","23,000.00","23,100.00","22,700.00","1.39M","-0.65%"
"10/27/2023","23,100.00","22,400.00","23,100.00","22,150.00","2.65M","1.76%"
"10/26/2023","22,700.00","23,500.00","23,650.00","22,300.00","3.26M","-3.61%"
