"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2024","17,000","17,050","17,250","16,800","5.76M","-0.29%"
"01/18/2024","17,050","17,100","17,200","16,800","4.64M","0.29%"
"01/17/2024","17,000","17,200","17,250","16,950","5.77M","-0.87%"
"01/16/2024","17,150","16,450","17,150","16,450","5.89M","2.69%"
"01/15/2024","16,700","17,150","17,250","16,450","4.44M","-1.18%"
"01/12/2024","16,900","16,800","17,300","16,350","8.39M","-1.17%"
"01/11/2024","17,100","17,100","17,450","16,750","5.54M","-0.87%"
"01/10/2024","17,250","18,200","18,200","16,900","8.37M","-4.17%"
"01/09/2024","18,000","18,000","18,200","17,750","8.13M","0.00%"
"01/08/2024","18,000","17,350","18,200","17,050","17.51M","5.26%"
"01/05/2024","17,100","17,150","17,500","16,900","8.65M","0.00%"
"01/04/2024","17,100","16,800","17,450","16,650","15.56M","2.70%"
"01/03/2024","16,650","16,000","16,650","15,750","11.53M","3.42%"
"01/02/2024","16,100","16,050","16,150","15,200","12.33M","0.63%"
"12/29/2023","16,000","15,900","16,050","15,800","3.29M","0.63%"
"12/28/2023","15,900","15,900","16,000","15,800","3.04M","-0.31%"
"12/27/2023","15,950","16,100","16,100","15,800","3.53M","-0.62%"
"12/26/2023","16,050","16,150","16,200","15,950","4.89M","0.00%"
"12/25/2023","16,050","16,000","16,200","15,900","7.49M","0.31%"
"12/22/2023","16,000","16,200","16,200","15,900","4.07M","-0.62%"
"12/21/2023","16,100","16,300","16,300","15,950","5.15M","0.31%"
"12/20/2023","16,050","16,200","16,250","16,000","4.17M","0.31%"
"12/19/2023","16,000","15,650","16,000","15,400","5.84M","0.95%"
"12/18/2023","15,850","16,200","16,200","15,850","2.18M","-0.94%"
"12/15/2023","16,000","15,800","16,200","15,650","4.33M","1.27%"
"12/14/2023","15,800","16,200","16,300","15,700","4.31M","-2.47%"
"12/13/2023","16,200","16,400","16,750","16,050","5.63M","-1.22%"
"12/12/2023","16,400","16,400","16,650","16,300","5.30M","0.00%"
"12/11/2023","16,400","17,000","17,000","16,150","5.80M","-2.38%"
"12/08/2023","16,800","16,900","17,200","16,450","5.51M","-2.33%"
"12/07/2023","17,200","17,350","17,450","16,300","7.81M","0.00%"
"12/06/2023","17,200","17,000","17,200","16,650","6.39M","1.47%"
"12/05/2023","16,950","18,000","18,000","16,950","7.00M","-4.78%"
"12/04/2023","17,800","17,500","18,000","17,150","7.62M","3.49%"
"12/01/2023","17,200","17,100","17,400","16,800","8.28M","1.18%"
"11/30/2023","17,000","16,600","17,000","16,400","9.87M","3.03%"
"11/29/2023","16,500","16,500","16,600","15,950","7.62M","0.61%"
"11/28/2023","16,400","16,500","16,600","15,550","7.76M","2.82%"
"11/27/2023","15,950","16,000","16,400","15,450","6.70M","0.31%"
"11/24/2023","15,900","16,100","16,100","15,300","5.38M","-0.63%"
"11/23/2023","16,000","16,750","16,800","16,000","9.03M","-4.19%"
