"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2024","12,150.0","12,150.0","12,200.0","12,050.0","23.41M","0.83%"
"01/18/2024","12,050.0","12,000.0","12,100.0","11,950.0","25.14M","0.42%"
"01/17/2024","12,000.0","12,200.0","12,350.0","12,000.0","37.16M","-1.64%"
"01/16/2024","12,200.0","12,050.0","12,200.0","11,950.0","34.30M","0.41%"
"01/15/2024","12,150.0","12,400.0","12,500.0","12,150.0","37.22M","-1.22%"
"01/12/2024","12,300.0","11,900.0","12,450.0","11,850.0","64.61M","1.65%"
"01/11/2024","12,100.0","12,100.0","12,400.0","12,000.0","46.15M","0.83%"
"01/10/2024","12,000.0","11,700.0","12,200.0","11,600.0","94.31M","2.56%"
"01/09/2024","11,700.0","11,700.0","11,750.0","11,550.0","29.82M","0.00%"
"01/08/2024","11,700.0","11,650.0","11,750.0","11,550.0","38.35M","1.30%"
"01/05/2024","11,550.0","11,500.0","11,600.0","11,350.0","39.86M","0.87%"
"01/04/2024","11,450.0","11,300.0","11,750.0","11,250.0","61.54M","1.78%"
"01/03/2024","11,250.0","10,950.0","11,250.0","10,950.0","30.25M","2.74%"
"01/02/2024","10,950.0","10,900.0","11,100.0","10,850.0","24.64M","1.39%"
"12/29/2023","10,800.0","10,850.0","10,950.0","10,800.0","11.76M","0.00%"
"12/28/2023","10,800.0","10,800.0","10,850.0","10,700.0","9.64M","0.47%"
"12/27/2023","10,750.0","10,750.0","10,800.0","10,700.0","7.83M","0.47%"
"12/26/2023","10,700.0","10,800.0","10,850.0","10,700.0","14.66M","-0.47%"
"12/25/2023","10,750.0","10,700.0","10,850.0","10,700.0","8.68M","0.47%"
"12/22/2023","10,700.0","10,700.0","10,800.0","10,650.0","10.06M","0.47%"
"12/21/2023","10,650.0","10,650.0","10,750.0","10,650.0","9.62M","-0.47%"
"12/20/2023","10,700.0","10,750.0","10,800.0","10,650.0","6.81M","0.00%"
"12/19/2023","10,700.0","10,650.0","10,750.0","10,600.0","14.40M","0.00%"
"12/18/2023","10,700.0","10,850.0","10,850.0","10,650.0","13.54M","-0.93%"
"12/15/2023","10,800.0","10,850.0","10,950.0","10,750.0","18.98M","0.00%"
"12/14/2023","10,800.0","10,950.0","11,000.0","10,800.0","20.16M","-0.92%"
"12/13/2023","10,900.0","11,150.0","11,200.0","10,900.0","20.47M","-1.80%"
"12/12/2023","11,100.0","11,150.0","11,250.0","11,100.0","20.44M","-0.45%"
"12/11/2023","11,150.0","11,050.0","11,200.0","11,000.0","21.55M","1.36%"
"12/08/2023","11,000.0","11,050.0","11,200.0","10,950.0","18.86M","-0.45%"
