"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2024","16,450.0","16,700.0","16,800.0","16,400.0","991.10K","-0.30%"
"01/18/2024","16,500.0","16,600.0","16,950.0","16,350.0","1.50M","-0.60%"
"01/17/2024","16,600.0","16,550.0","17,250.0","16,400.0","2.03M","0.61%"
"01/16/2024","16,500.0","16,100.0","16,500.0","16,050.0","1.06M","1.85%"
"01/15/2024","16,200.0","16,650.0","16,800.0","16,200.0","1.40M","-2.41%"
"01/12/2024","16,600.0","16,500.0","16,950.0","16,500.0","1.59M","-1.19%"
"01/11/2024","16,800.0","16,600.0","17,000.0","16,550.0","1.68M","1.51%"
"01/10/2024","16,550.0","16,850.0","16,900.0","16,350.0","1.67M","-1.78%"
"01/09/2024","16,850.0","17,200.0","17,200.0","16,700.0","1.63M","-0.88%"
"01/08/2024","17,000.0","16,500.0","17,100.0","16,500.0","3.66M","3.66%"
"01/05/2024","16,400.0","16,400.0","16,500.0","16,200.0","1.20M","0.61%"
"01/04/2024","16,300.0","16,150.0","16,600.0","16,050.0","3.41M","1.56%"
"01/03/2024","16,050.0","15,900.0","16,050.0","15,850.0","913.00K","0.94%"
"01/02/2024","15,900.0","16,450.0","16,450.0","15,900.0","1.30M","-0.93%"
"12/29/2023","16,050.0","16,200.0","16,200.0","16,000.0","746.60K","-0.31%"
"12/28/2023","16,100.0","16,150.0","16,200.0","16,050.0","969.10K","-0.62%"
"12/27/2023","16,200.0","16,050.0","16,300.0","16,000.0","1.47M","1.25%"
"12/26/2023","16,000.0","15,950.0","16,100.0","15,850.0","796.30K","0.63%"
"12/25/2023","15,900.0","15,800.0","16,100.0","15,600.0","1.90M","-0.31%"
"12/22/2023","15,950.0","16,050.0","16,250.0","15,800.0","1.24M","-0.62%"
"12/21/2023","16,050.0","15,900.0","16,100.0","15,800.0","696.80K","-0.31%"
"12/20/2023","16,100.0","15,950.0","16,250.0","15,900.0","831.90K","0.94%"
"12/19/2023","15,950.0","15,700.0","15,950.0","15,450.0","953.20K","1.59%"
"12/18/2023","15,700.0","15,900.0","15,900.0","15,550.0","1.04M","-1.26%"
"12/15/2023","15,900.0","15,850.0","16,200.0","15,800.0","1.31M","0.32%"
"12/14/2023","15,850.0","16,100.0","16,100.0","15,700.0","1.06M","0.32%"
"12/13/2023","15,800.0","16,000.0","16,300.0","15,700.0","1.54M","-0.94%"
"12/12/2023","15,950.0","16,050.0","16,250.0","15,950.0","706.20K","-0.62%"
"12/11/2023","16,050.0","16,150.0","16,150.0","15,750.0","1.52M","0.00%"
"12/08/2023","16,050.0","16,350.0","16,400.0","15,800.0","1.29M","-1.83%"
"12/07/2023","16,350.0","16,850.0","16,900.0","15,750.0","5.08M","-2.68%"
"12/06/2023","16,800.0","16,650.0","16,850.0","16,500.0","1.77M","1.20%"
"12/05/2023","16,600.0","16,700.0","16,850.0","16,500.0","1.70M","-0.30%"
"12/04/2023","16,650.0","16,050.0","16,700.0","15,900.0","4.04M","6.39%"
"12/01/2023","15,650.0","15,600.0","15,700.0","15,250.0","1.14M","1.62%"
"11/30/2023","15,400.0","15,600.0","15,850.0","15,400.0","2.13M","-1.28%"
"11/29/2023","15,600.0","15,650.0","15,750.0","15,400.0","1.59M","1.30%"
"11/28/2023","15,400.0","15,200.0","15,400.0","14,850.0","1.41M","1.65%"
"11/27/2023","15,150.0","15,400.0","15,500.0","15,100.0","857.60K","-2.26%"
"11/24/2023","15,500.0","15,000.0","15,500.0","14,400.0","3.05M","4.73%"
"11/23/2023","14,800.0","16,200.0","16,200.0","14,800.0","2.23M","-6.92%"
"11/22/2023","15,900.0","15,700.0","15,900.0","15,500.0","1.91M","1.60%"
