"Date","Price","Open","High","Low","Vol.","Change %"
"11/24/2023","21,350.0","21,300.0","21,350.0","20,900.0","57.60K","1.18%"
"11/23/2023","21,100.0","21,600.0","21,700.0","21,000.0","183.40K","-1.86%"
"11/22/2023","21,500.0","21,500.0","21,650.0","21,250.0","88.20K","0.00%"
"11/21/2023","21,500.0","21,200.0","21,600.0","21,050.0","193.90K","1.42%"
"11/20/2023","21,200.0","20,800.0","21,250.0","20,800.0","186.00K","-1.40%"
"11/17/2023","21,500.0","21,700.0","21,700.0","21,050.0","93.70K","-0.46%"
"11/16/2023","21,600.0","21,600.0","21,800.0","21,100.0","132.10K","-0.69%"
"11/15/2023","21,750.0","21,450.0","22,000.0","21,400.0","191.20K","2.59%"
"11/14/2023","21,200.0","21,500.0","21,700.0","20,800.0","272.50K","-0.93%"
"11/13/2023","21,400.0","21,850.0","21,900.0","21,400.0","125.90K","-2.06%"
"11/10/2023","21,850.0","21,850.0","22,000.0","21,500.0","81.60K","-0.68%"
"11/09/2023","22,000.0","21,900.0","22,150.0","21,150.0","246.20K","0.92%"
"11/08/2023","21,800.0","21,750.0","21,800.0","21,250.0","87.20K","0.93%"
"11/07/2023","21,600.0","21,850.0","21,850.0","21,200.0","44.90K","-1.14%"
"11/06/2023","21,850.0","21,400.0","21,850.0","21,300.0","104.40K","2.10%"
"11/03/2023","21,400.0","21,800.0","21,800.0","21,100.0","114.80K","-0.70%"
"11/02/2023","21,550.0","20,600.0","21,550.0","20,600.0","80.60K","4.61%"
"11/01/2023","20,600.0","20,700.0","20,750.0","20,200.0","48.70K","1.48%"
"10/31/2023","20,300.0","20,400.0","20,750.0","20,050.0","97.80K","-0.25%"
"10/30/2023","20,350.0","20,600.0","20,650.0","20,350.0","100.40K","-1.45%"
"10/27/2023","20,650.0","20,400.0","20,800.0","20,100.0","107.00K","1.23%"
"10/26/2023","20,400.0","21,300.0","21,500.0","20,400.0","443.90K","-6.85%"
"10/25/2023","21,900.0","21,900.0","21,950.0","21,700.0","42.60K","0.46%"
"10/24/2023","21,800.0","21,700.0","21,950.0","21,300.0","153.50K","-0.68%"
"10/23/2023","21,950.0","22,100.0","22,300.0","21,800.0","46.60K","-1.79%"
"10/20/2023","22,350.0","21,750.0","22,350.0","21,500.0","93.20K","1.59%"
"10/19/2023","22,000.0","22,300.0","22,300.0","21,550.0","203.60K","-2.00%"
"10/18/2023","22,450.0","22,600.0","23,200.0","21,900.0","72.30K","-2.39%"
"10/17/2023","23,000.0","23,450.0","23,550.0","22,700.0","174.40K","-1.92%"
"10/16/2023","23,450.0","23,700.0","24,000.0","22,950.0","244.60K","-1.05%"
"10/13/2023","23,700.0","23,250.0","23,950.0","23,250.0","80.70K","0.00%"
"10/12/2023","23,700.0","23,800.0","23,800.0","23,200.0","137.00K","-7.06%"
"10/11/2023","25,500.0","25,350.0","25,950.0","25,350.0","73.60K","-1.16%"
"10/10/2023","25,800.0","25,900.0","26,000.0","25,150.0","130.30K","0.00%"
"10/09/2023","25,800.0","25,900.0","26,000.0","25,250.0","150.80K","-0.77%"
"10/06/2023","26,000.0","25,500.0","26,000.0","25,500.0","27.00K","0.58%"
"10/05/2023","25,850.0","26,200.0","26,200.0","25,350.0","185.60K","-1.34%"
"10/04/2023","26,200.0","25,900.0","26,200.0","25,200.0","39.30K","0.77%"
"10/03/2023","26,000.0","26,000.0","26,300.0","25,300.0","187.30K","0.00%"
"10/02/2023","26,000.0","26,500.0","26,500.0","25,850.0","107.10K","-1.52%"
"09/29/2023","26,400.0","26,450.0","26,450.0","25,800.0","27.70K","0.76%"
"09/28/2023","26,200.0","26,450.0","26,450.0","25,700.0","50.40K","-0.95%"
"09/27/2023","26,450.0","25,700.0","27,500.0","25,100.0","42.70K","2.72%"
"09/26/2023","25,750.0","25,000.0","25,900.0","25,000.0","148.00K","2.39%"
"09/25/2023","25,150.0","27,000.0","27,200.0","25,150.0","114.10K","-6.85%"
"09/22/2023","27,000.0","26,300.0","27,000.0","26,000.0","273.00K","-0.74%"
"09/21/2023","27,200.0","27,550.0","27,550.0","27,200.0","80.50K","-1.27%"
"09/20/2023","27,550.0","27,700.0","27,700.0","27,250.0","76.10K","0.73%"
"09/19/2023","27,350.0","27,100.0","28,000.0","27,100.0","190.30K","-0.91%"
"09/18/2023","27,600.0","28,300.0","28,400.0","27,000.0","163.60K","-2.82%"
"09/15/2023","28,400.0","28,600.0","29,000.0","28,050.0","68.20K","0.00%"
"09/14/2023","28,400.0","28,000.0","28,600.0","27,750.0","247.50K","1.43%"
"09/13/2023","28,000.0","28,600.0","28,950.0","28,000.0","166.20K","-2.78%"
"09/12/2023","28,800.0","28,600.0","28,800.0","28,400.0","141.30K","-0.17%"
"09/11/2023","28,850.0","29,000.0","29,150.0","28,600.0","162.80K","-0.35%"
"09/08/2023","28,950.0","28,550.0","28,950.0","28,400.0","192.30K","1.05%"
"09/07/2023","28,650.0","29,350.0","29,350.0","28,550.0","240.10K","-1.21%"
"09/06/2023","29,000.0","29,000.0","29,400.0","28,850.0","128.90K","-0.34%"
"09/05/2023","29,100.0","28,250.0","29,500.0","27,700.0","514.40K","4.30%"
"08/31/2023","27,900.0","28,000.0","28,000.0","27,650.0","206.50K","-0.36%"
"08/30/2023","28,000.0","28,200.0","28,200.0","27,600.0","131.90K","0.00%"
"08/29/2023","28,000.0","28,200.0","28,500.0","27,600.0","266.30K","-0.71%"
"08/28/2023","28,200.0","28,100.0","28,300.0","27,500.0","183.60K","1.08%"
"08/25/2023","27,900.0","28,350.0","28,400.0","27,500.0","211.70K","-1.24%"
"08/24/2023","28,250.0","28,250.0","28,250.0","27,400.0","330.80K","0.18%"
"08/23/2023","28,200.0","28,500.0","28,600.0","28,000.0","178.30K","0.00%"
"08/22/2023","28,200.0","27,200.0","28,200.0","27,100.0","592.90K","4.64%"
"08/21/2023","26,950.0","25,750.0","26,950.0","25,600.0","504.60K","3.65%"
"08/18/2023","26,000.0","26,450.0","26,800.0","25,800.0","535.20K","-3.17%"
"08/17/2023","26,850.0","26,600.0","27,200.0","26,600.0","488.20K","0.94%"
"08/16/2023","26,600.0","26,500.0","27,000.0","26,150.0","454.20K","0.57%"
"08/15/2023","26,450.0","25,700.0","26,450.0","25,550.0","467.80K","3.73%"
"08/14/2023","25,500.0","25,800.0","25,950.0","25,250.0","225.00K","-1.16%"
"08/11/2023","25,800.0","25,800.0","25,800.0","25,150.0","192.60K","-0.39%"
"08/10/2023","25,900.0","26,100.0","26,200.0","25,450.0","111.00K","-0.38%"
"08/09/2023","26,000.0","26,000.0","26,250.0","25,900.0","157.40K","0.39%"
"08/08/2023","25,900.0","25,650.0","26,000.0","25,650.0","179.00K","1.17%"
"08/07/2023","25,600.0","25,600.0","25,800.0","25,450.0","177.20K","0.00%"
"08/04/2023","25,600.0","25,350.0","25,700.0","25,350.0","170.70K","0.59%"
"08/03/2023","25,450.0","25,700.0","25,800.0","25,350.0","136.60K","-0.97%"
"08/02/2023","25,700.0","25,700.0","26,000.0","25,300.0","262.70K","-0.39%"
"08/01/2023","25,800.0","26,150.0","26,150.0","25,700.0","125.00K","-0.39%"
"07/31/2023","25,900.0","26,100.0","26,400.0","25,800.0","215.30K","0.19%"
"07/28/2023","25,850.0","25,900.0","25,950.0","25,700.0","124.80K","-0.19%"
"07/27/2023","25,900.0","26,550.0","26,550.0","25,600.0","208.70K","-1.89%"
"07/26/2023","26,400.0","26,600.0","26,600.0","26,100.0","73.50K","-0.19%"
"07/25/2023","26,450.0","26,450.0","26,700.0","26,050.0","170.70K","0.57%"
"07/24/2023","26,300.0","26,400.0","26,400.0","26,000.0","133.20K","-0.19%"
"07/21/2023","26,350.0","26,500.0","26,650.0","26,300.0","62.00K","-0.19%"
"07/20/2023","26,400.0","25,450.0","26,500.0","25,450.0","471.00K","2.92%"
"07/19/2023","25,650.0","26,000.0","26,100.0","25,550.0","116.50K","-1.35%"
"07/18/2023","26,000.0","25,950.0","26,150.0","25,700.0","103.80K","-0.38%"
"07/17/2023","26,100.0","25,200.0","26,100.0","25,050.0","382.20K","3.37%"
"07/14/2023","25,250.0","25,350.0","25,450.0","25,050.0","161.80K","-0.98%"
"07/13/2023","25,500.0","25,550.0","25,750.0","25,200.0","226.10K","0.00%"
"07/12/2023","25,500.0","25,550.0","26,000.0","25,300.0","243.20K","0.39%"
"07/11/2023","25,400.0","25,000.0","25,600.0","24,950.0","299.80K","1.60%"
"07/10/2023","25,000.0","25,050.0","25,400.0","24,900.0","254.90K","-0.20%"
