"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2024","18,250.0","18,400.0","18,650.0","18,200.0","10.33M","-0.27%"
"01/18/2024","18,300.0","18,500.0","18,500.0","18,100.0","9.26M","-0.27%"
"01/17/2024","18,350.0","18,400.0","18,750.0","18,300.0","11.77M","-0.27%"
"01/16/2024","18,400.0","17,800.0","18,400.0","17,700.0","12.53M","3.37%"
"01/15/2024","17,800.0","18,450.0","18,500.0","17,800.0","11.10M","-1.66%"
"01/12/2024","18,100.0","18,500.0","18,600.0","18,000.0","18.22M","-3.72%"
"01/11/2024","18,800.0","18,200.0","18,900.0","18,150.0","17.89M","3.30%"
"01/10/2024","18,200.0","18,550.0","18,550.0","17,900.0","18.24M","-1.89%"
"01/09/2024","18,550.0","18,750.0","18,850.0","18,400.0","20.76M","1.64%"
"01/08/2024","18,250.0","17,500.0","18,250.0","17,500.0","26.20M","6.73%"
"01/05/2024","17,100.0","17,400.0","17,450.0","17,050.0","8.54M","-1.16%"
"01/04/2024","17,300.0","17,650.0","17,650.0","17,300.0","10.05M","-1.14%"
"01/03/2024","17,500.0","17,200.0","17,700.0","17,050.0","10.16M","1.74%"
"01/02/2024","17,200.0","17,450.0","17,600.0","17,100.0","5.96M","-0.29%"
"12/29/2023","17,250.0","16,950.0","17,500.0","16,900.0","9.53M","2.37%"
"12/28/2023","16,850.0","16,800.0","16,950.0","16,750.0","3.94M","0.30%"
"12/27/2023","16,800.0","16,950.0","17,100.0","16,800.0","5.63M","-0.88%"
"12/26/2023","16,950.0","16,850.0","17,150.0","16,850.0","5.16M","0.89%"
"12/25/2023","16,800.0","16,550.0","16,850.0","16,550.0","4.08M","1.51%"
"12/22/2023","16,550.0","16,750.0","16,800.0","16,500.0","5.09M","-0.90%"
"12/21/2023","16,700.0","16,550.0","16,800.0","16,550.0","2.90M","0.30%"
"12/20/2023","16,650.0","16,700.0","16,700.0","16,550.0","3.04M","0.91%"
"12/19/2023","16,500.0","16,500.0","16,650.0","16,200.0","4.54M","1.23%"
"12/18/2023","16,300.0","16,700.0","16,800.0","16,300.0","5.43M","-2.40%"
"12/15/2023","16,700.0","16,950.0","17,000.0","16,700.0","5.63M","-0.89%"
"12/14/2023","16,850.0","17,400.0","17,450.0","16,850.0","5.58M","-2.03%"
"12/13/2023","17,200.0","17,500.0","17,800.0","17,100.0","8.26M","-1.43%"
"12/12/2023","17,450.0","17,550.0","17,600.0","17,400.0","4.36M","0.29%"
"12/11/2023","17,400.0","17,550.0","17,600.0","17,250.0","4.40M","0.00%"
"12/08/2023","17,400.0","17,650.0","17,700.0","17,200.0","7.59M","-1.14%"
"12/07/2023","17,600.0","18,150.0","18,200.0","17,300.0","13.82M","-2.76%"
"12/06/2023","18,100.0","17,700.0","18,200.0","17,600.0","11.84M","2.55%"
"12/05/2023","17,650.0","17,800.0","17,850.0","17,450.0","10.24M","0.00%"
"12/04/2023","17,650.0","17,150.0","18,000.0","17,100.0","12.17M","4.44%"
"12/01/2023","16,900.0","17,100.0","17,150.0","16,800.0","4.42M","-0.29%"
"11/30/2023","16,950.0","17,150.0","17,300.0","16,900.0","6.03M","-0.88%"
"11/29/2023","17,100.0","17,000.0","17,200.0","16,900.0","6.15M","1.48%"
"11/28/2023","16,850.0","16,550.0","16,900.0","16,200.0","5.33M","2.12%"
"11/27/2023","16,500.0","17,000.0","17,100.0","16,500.0","3.50M","-2.37%"
"11/24/2023","16,900.0","16,950.0","17,100.0","15,900.0","11.89M","0.60%"
"11/23/2023","16,800.0","18,000.0","18,200.0","16,800.0","12.00M","-5.62%"
"11/22/2023","17,800.0","17,600.0","18,000.0","17,550.0","14.37M","1.71%"
"11/21/2023","17,500.0","17,250.0","17,500.0","17,050.0","7.35M","3.24%"
"11/20/2023","16,950.0","16,650.0","17,200.0","16,650.0","6.66M","-0.88%"
"11/17/2023","17,100.0","17,500.0","17,800.0","16,950.0","15.13M","-1.72%"
"11/16/2023","17,400.0","16,950.0","17,400.0","16,900.0","6.31M","2.35%"
"11/15/2023","17,000.0","17,600.0","17,650.0","16,950.0","10.11M","-0.58%"
"11/14/2023","17,100.0","17,200.0","17,450.0","17,050.0","9.48M","0.88%"
