"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2024","18,950.0","19,300.0","19,300.0","18,950.0","7.63M","-1.30%"
"01/18/2024","19,200.0","19,150.0","19,300.0","18,900.0","12.06M","1.32%"
"01/17/2024","18,950.0","19,000.0","19,200.0","18,800.0","7.15M","-0.26%"
"01/16/2024","19,000.0","18,500.0","19,000.0","18,450.0","8.06M","2.15%"
"01/15/2024","18,600.0","18,950.0","19,100.0","18,600.0","10.47M","-1.06%"
"01/12/2024","18,800.0","19,000.0","19,050.0","18,600.0","25.88M","-2.34%"
"01/11/2024","19,250.0","19,500.0","19,500.0","19,100.0","10.38M","-1.28%"
"01/10/2024","19,500.0","19,700.0","19,700.0","19,050.0","15.00M","-1.02%"
"01/09/2024","19,700.0","19,850.0","20,000.0","19,500.0","20.27M","-0.25%"
"01/08/2024","19,750.0","19,650.0","20,050.0","19,500.0","22.51M","1.80%"
"01/05/2024","19,400.0","19,200.0","19,600.0","19,150.0","15.04M","1.04%"
"01/04/2024","19,200.0","19,200.0","19,600.0","19,100.0","22.17M","0.26%"
"01/03/2024","19,150.0","19,000.0","19,200.0","18,900.0","8.90M","0.52%"
"01/02/2024","19,050.0","19,400.0","19,500.0","18,950.0","13.23M","-1.55%"
"12/29/2023","19,350.0","19,100.0","19,450.0","19,000.0","14.83M","1.57%"
"12/28/2023","19,050.0","18,950.0","19,200.0","18,850.0","9.57M","0.79%"
"12/27/2023","18,900.0","19,150.0","19,200.0","18,900.0","9.10M","-1.05%"
"12/26/2023","19,100.0","19,150.0","19,200.0","18,850.0","8.82M","0.79%"
"12/25/2023","18,950.0","18,750.0","19,200.0","18,600.0","10.10M","1.07%"
"12/22/2023","18,750.0","19,250.0","19,300.0","18,750.0","11.80M","-2.34%"
"12/21/2023","19,200.0","18,950.0","19,200.0","18,850.0","8.32M","0.26%"
"12/20/2023","19,150.0","19,000.0","19,350.0","19,000.0","9.06M","1.06%"
"12/19/2023","18,950.0","18,600.0","18,950.0","18,400.0","8.97M","1.61%"
"12/18/2023","18,650.0","18,750.0","18,850.0","18,500.0","7.97M","0.00%"
"12/15/2023","18,650.0","18,300.0","18,950.0","18,250.0","11.37M","2.19%"
"12/14/2023","18,250.0","18,900.0","18,950.0","18,250.0","14.83M","-4.45%"
"12/13/2023","19,100.0","19,600.0","19,700.0","19,050.0","24.68M","-1.80%"
"12/12/2023","19,450.0","19,400.0","19,800.0","19,400.0","17.10M","0.52%"
"12/11/2023","19,350.0","19,900.0","19,900.0","19,250.0","26.03M","-3.25%"
"12/08/2023","20,000.0","20,550.0","20,600.0","19,700.0","30.91M","-2.44%"
"12/07/2023","20,500.0","21,400.0","21,450.0","20,000.0","36.08M","-3.76%"
"12/06/2023","21,300.0","21,100.0","21,450.0","20,850.0","24.91M","0.95%"
"12/05/2023","21,100.0","20,650.0","21,200.0","20,550.0","35.01M","2.18%"
"12/04/2023","20,650.0","20,100.0","20,950.0","20,050.0","21.26M","4.03%"
"12/01/2023","19,850.0","20,000.0","20,150.0","19,300.0","34.60M","-0.75%"
"11/30/2023","20,000.0","20,000.0","20,500.0","19,900.0","16.81M","0.50%"
"11/29/2023","19,900.0","19,800.0","20,150.0","19,700.0","10.91M","0.76%"
"11/28/2023","19,750.0","19,400.0","19,800.0","18,650.0","16.87M","1.80%"
"11/27/2023","19,400.0","20,000.0","20,250.0","19,400.0","10.76M","-3.00%"
"11/24/2023","20,000.0","19,850.0","20,000.0","19,000.0","26.46M","1.27%"
"11/23/2023","19,750.0","21,400.0","21,400.0","19,750.0","22.13M","-6.84%"
"11/22/2023","21,200.0","20,150.0","21,300.0","20,150.0","38.02M","4.69%"
"11/21/2023","20,250.0","20,450.0","20,450.0","20,100.0","14.50M","0.50%"
"11/20/2023","20,150.0","19,100.0","20,250.0","19,100.0","16.09M","1.77%"
"11/17/2023","19,800.0","20,550.0","20,700.0","19,500.0","30.89M","-3.65%"
"11/16/2023","20,550.0","19,850.0","20,600.0","19,800.0","16.58M","2.24%"
"11/15/2023","20,100.0","20,550.0","20,600.0","19,850.0","23.84M","0.75%"
"11/14/2023","19,950.0","20,500.0","20,550.0","19,700.0","21.88M","-0.99%"
