"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2024","7,050.0","7,010.0","7,220.0","6,920.0","1.89M","-5.24%"
"01/18/2024","7,440.0","7,900.0","8,000.0","7,440.0","2.05M","-6.88%"
"01/17/2024","7,990.0","8,410.0","8,500.0","7,830.0","3.23M","-4.99%"
"01/16/2024","8,410.0","8,300.0","8,500.0","7,860.0","3.79M","1.33%"
"01/15/2024","8,300.0","8,050.0","8,600.0","8,000.0","5.75M","3.23%"
"01/12/2024","8,040.0","8,040.0","8,080.0","7,800.0","741.50K","-0.12%"
"01/11/2024","8,050.0","8,000.0","8,100.0","7,950.0","657.20K","0.00%"
"01/10/2024","8,050.0","8,180.0","8,180.0","7,880.0","492.80K","-1.59%"
"01/09/2024","8,180.0","8,040.0","8,300.0","8,040.0","2.27M","1.24%"
"01/08/2024","8,080.0","8,610.0","8,790.0","8,020.0","1.77M","-6.26%"
"01/05/2024","8,620.0","9,020.0","9,300.0","8,390.0","3.25M","-4.43%"
"01/04/2024","9,020.0","9,000.0","9,300.0","8,950.0","358.90K","-1.42%"
"01/03/2024","9,150.0","9,500.0","9,500.0","8,930.0","1.27M","-4.69%"
"01/02/2024","9,600.0","10,200.0","10,500.0","9,400.0","1.84M","-4.95%"
"12/29/2023","10,100.0","10,100.0","10,200.0","9,850.0","591.40K","0.00%"
"12/28/2023","10,100.0","10,200.0","10,300.0","9,890.0","570.80K","-0.49%"
"12/27/2023","10,150.0","10,300.0","10,600.0","9,790.0","818.50K","-2.40%"
"12/26/2023","10,400.0","9,700.0","10,500.0","9,700.0","937.60K","1.46%"
"12/25/2023","10,250.0","11,100.0","11,350.0","10,250.0","1.48M","-6.82%"
"12/22/2023","11,000.0","11,600.0","12,100.0","10,700.0","2.04M","-4.35%"
"12/21/2023","11,500.0","11,100.0","11,550.0","10,650.0","2.27M","6.48%"
"12/20/2023","10,800.0","10,200.0","10,800.0","9,900.0","2.08M","6.93%"
"12/19/2023","10,100.0","9,890.0","10,300.0","9,890.0","643.60K","2.12%"
"12/18/2023","9,890.0","9,540.0","9,900.0","9,410.0","1.34M","3.34%"
"12/15/2023","9,570.0","9,550.0","9,600.0","9,450.0","132.70K","0.74%"
"12/14/2023","9,500.0","9,550.0","9,600.0","9,450.0","161.90K","-1.04%"
"12/13/2023","9,600.0","9,660.0","9,700.0","9,500.0","130.20K","-0.52%"
"12/12/2023","9,650.0","9,250.0","9,650.0","9,200.0","204.10K","2.66%"
"12/11/2023","9,400.0","9,400.0","9,500.0","9,350.0","69.40K","-0.21%"
