"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2024","11,450.0","11,650.0","11,650.0","11,450.0","1.11M","-0.87%"
"01/18/2024","11,550.0","11,550.0","11,550.0","11,400.0","1.18M","0.43%"
"01/17/2024","11,500.0","11,550.0","11,700.0","11,450.0","1.21M","0.00%"
"01/16/2024","11,500.0","11,500.0","11,500.0","11,350.0","1.48M","0.00%"
"01/15/2024","11,500.0","11,800.0","11,800.0","11,500.0","830.40K","-0.86%"
"01/12/2024","11,600.0","11,650.0","11,950.0","11,500.0","2.58M","-0.85%"
"01/11/2024","11,700.0","11,650.0","11,750.0","11,600.0","1.32M","0.43%"
"01/10/2024","11,650.0","11,700.0","11,900.0","11,600.0","1.88M","-0.43%"
"01/09/2024","11,700.0","11,800.0","11,950.0","11,700.0","1.95M","-0.85%"
"01/08/2024","11,800.0","12,000.0","12,000.0","11,800.0","1.38M","-0.84%"
"01/05/2024","11,900.0","11,650.0","11,950.0","11,600.0","2.81M","2.15%"
"01/04/2024","11,650.0","11,950.0","11,950.0","11,600.0","2.51M","-1.69%"
"01/03/2024","11,850.0","11,500.0","11,850.0","11,500.0","2.17M","2.16%"
"01/02/2024","11,600.0","11,800.0","11,800.0","11,550.0","1.61M","-0.85%"
"12/29/2023","11,700.0","11,700.0","11,750.0","11,650.0","1.01M","0.43%"
"12/28/2023","11,650.0","11,600.0","11,800.0","11,550.0","1.09M","0.43%"
"12/27/2023","11,600.0","11,800.0","11,850.0","11,600.0","1.59M","-1.28%"
"12/26/2023","11,750.0","11,850.0","11,850.0","11,700.0","1.21M","0.00%"
"12/25/2023","11,750.0","11,600.0","11,800.0","11,550.0","994.00K","1.73%"
"12/22/2023","11,550.0","11,700.0","11,800.0","11,500.0","861.10K","-1.28%"
"12/21/2023","11,700.0","11,450.0","11,800.0","11,400.0","1.17M","0.86%"
"12/20/2023","11,600.0","11,600.0","11,700.0","11,500.0","899.90K","0.43%"
"12/19/2023","11,550.0","11,550.0","11,750.0","11,000.0","1.86M","-0.43%"
"12/18/2023","11,600.0","11,900.0","11,900.0","11,600.0","1.40M","-1.69%"
"12/15/2023","11,800.0","11,700.0","11,950.0","11,600.0","1.86M","0.85%"
"12/14/2023","11,700.0","12,000.0","12,000.0","11,650.0","2.14M","-1.27%"
"12/13/2023","11,850.0","12,300.0","12,350.0","11,800.0","5.94M","-3.66%"
"12/12/2023","12,300.0","12,350.0","12,600.0","12,250.0","3.36M","0.00%"
"12/11/2023","12,300.0","12,150.0","12,450.0","12,100.0","4.26M","2.07%"
"12/08/2023","12,050.0","12,300.0","12,400.0","11,900.0","2.80M","-1.63%"
"12/07/2023","12,250.0","12,300.0","12,300.0","11,750.0","6.13M","0.82%"
"12/06/2023","12,150.0","11,400.0","12,150.0","11,400.0","7.10M","6.58%"
"12/05/2023","11,400.0","11,550.0","11,600.0","11,300.0","2.58M","-0.87%"
"12/04/2023","11,500.0","11,200.0","11,550.0","11,100.0","3.90M","4.55%"
"12/01/2023","11,000.0","11,150.0","11,200.0","10,950.0","1.37M","-0.90%"
"11/30/2023","11,100.0","11,200.0","11,300.0","11,050.0","1.98M","-0.89%"
"11/29/2023","11,200.0","11,150.0","11,200.0","11,000.0","1.25M","1.36%"
"11/28/2023","11,050.0","11,100.0","11,150.0","10,750.0","2.77M","0.00%"
"11/27/2023","11,050.0","11,400.0","11,400.0","11,000.0","1.37M","-2.21%"
"11/24/2023","11,300.0","11,300.0","11,350.0","10,900.0","2.82M","0.00%"
"11/23/2023","11,300.0","11,450.0","11,800.0","11,300.0","4.82M","-0.44%"
"11/22/2023","11,350.0","11,250.0","11,400.0","11,150.0","2.15M","1.34%"
"11/21/2023","11,200.0","11,450.0","11,450.0","11,150.0","1.33M","0.45%"
"11/20/2023","11,150.0","10,900.0","11,250.0","10,750.0","2.21M","0.90%"
"11/17/2023","11,050.0","11,550.0","11,600.0","10,950.0","3.93M","-3.49%"
"11/16/2023","11,450.0","11,350.0","11,600.0","11,300.0","2.52M","0.88%"
"11/15/2023","11,350.0","11,700.0","11,700.0","11,350.0","3.44M","0.44%"
"11/14/2023","11,300.0","11,250.0","11,300.0","11,000.0","1.92M","2.73%"
"11/13/2023","11,000.0","11,100.0","11,250.0","10,900.0","2.21M","0.00%"
"11/10/2023","11,000.0","10,900.0","11,300.0","10,900.0","3.68M","-0.90%"
"11/09/2023","11,100.0","11,100.0","11,450.0","11,000.0","3.80M","0.00%"
"11/08/2023","11,100.0","10,400.0","11,100.0","10,400.0","3.68M","6.73%"
"11/07/2023","10,400.0","10,250.0","10,550.0","10,100.0","2.01M","0.97%"
"11/06/2023","10,300.0","10,400.0","10,500.0","10,150.0","1.83M","-0.48%"
"11/03/2023","10,350.0","10,600.0","10,600.0","10,150.0","2.35M","-0.48%"
"11/02/2023","10,400.0","9,900.0","10,400.0","9,800.0","3.28M","6.67%"
"11/01/2023","9,750.0","9,400.0","9,750.0","9,050.0","2.82M","3.28%"
"10/31/2023","9,440.0","10,200.0","10,200.0","9,440.0","4.09M","-7.00%"
"10/30/2023","10,150.0","10,900.0","10,950.0","10,150.0","2.98M","-6.88%"
"10/27/2023","10,900.0","11,100.0","11,250.0","10,350.0","4.01M","-1.80%"
"10/26/2023","11,100.0","11,650.0","11,650.0","11,100.0","4.99M","-6.72%"
"10/25/2023","11,900.0","12,100.0","12,400.0","11,900.0","1.71M","-1.65%"
"10/24/2023","12,100.0","12,050.0","12,150.0","11,800.0","1.63M","0.83%"
"10/23/2023","12,000.0","12,300.0","12,300.0","11,800.0","1.81M","-1.64%"
"10/20/2023","12,200.0","11,900.0","12,300.0","11,500.0","3.11M","4.27%"
"10/19/2023","11,700.0","12,100.0","12,250.0","11,700.0","3.69M","-3.31%"
"10/18/2023","12,100.0","13,100.0","13,300.0","12,100.0","6.35M","-6.92%"
"10/17/2023","13,000.0","14,000.0","14,050.0","13,000.0","6.60M","-6.81%"
"10/16/2023","13,950.0","14,450.0","14,600.0","13,950.0","3.38M","-3.13%"
"10/13/2023","14,400.0","14,000.0","14,500.0","13,900.0","4.54M","1.77%"
"10/12/2023","14,150.0","14,600.0","14,600.0","14,000.0","3.35M","-1.39%"
"10/11/2023","14,350.0","14,250.0","14,350.0","13,900.0","2.77M","1.77%"
"10/10/2023","14,100.0","14,200.0","14,750.0","13,850.0","6.29M","1.44%"
"10/09/2023","13,900.0","13,600.0","13,950.0","13,500.0","2.85M","3.35%"
"10/06/2023","13,450.0","13,300.0","13,650.0","13,000.0","4.44M","-0.37%"
"10/05/2023","13,500.0","14,050.0","14,250.0","13,400.0","3.85M","-2.53%"
"10/04/2023","13,850.0","13,200.0","14,100.0","13,200.0","3.41M","1.47%"
"10/03/2023","13,650.0","13,700.0","14,400.0","13,450.0","7.24M","-3.19%"
"10/02/2023","14,100.0","13,600.0","14,350.0","13,600.0","6.63M","4.83%"
"09/29/2023","13,450.0","13,600.0","13,850.0","13,400.0","3.58M","0.37%"
"09/28/2023","13,400.0","13,500.0","13,800.0","13,250.0","3.47M","-0.74%"
"09/27/2023","13,500.0","13,050.0","13,500.0","12,650.0","5.35M","1.12%"
"09/26/2023","13,350.0","13,900.0","14,300.0","13,350.0","11.19M","-6.97%"
"09/25/2023","14,350.0","15,400.0","15,700.0","14,350.0","7.62M","-6.82%"
"09/22/2023","15,400.0","15,200.0","16,200.0","14,900.0","12.59M","0.00%"
"09/21/2023","15,400.0","14,900.0","15,900.0","14,900.0","9.78M","3.36%"
"09/20/2023","14,900.0","14,300.0","15,050.0","14,250.0","10.43M","5.67%"
"09/19/2023","14,100.0","14,300.0","14,350.0","13,850.0","2.49M","-0.70%"
"09/18/2023","14,200.0","13,850.0","14,300.0","13,800.0","3.70M","2.16%"
"09/15/2023","13,900.0","14,300.0","14,300.0","13,750.0","2.86M","-1.07%"
"09/14/2023","14,050.0","14,500.0","14,550.0","14,000.0","4.03M","-2.43%"
"09/13/2023","14,400.0","14,900.0","14,900.0","14,200.0","5.45M","-0.69%"
"09/12/2023","14,500.0","14,200.0","14,500.0","14,150.0","3.01M","2.11%"
"09/11/2023","14,200.0","14,700.0","15,100.0","14,200.0","7.36M","-1.73%"
"09/08/2023","14,450.0","14,300.0","14,500.0","14,150.0","3.61M","1.05%"
"09/07/2023","14,300.0","14,500.0","14,700.0","14,200.0","6.40M","1.42%"
"09/06/2023","14,100.0","13,900.0","14,100.0","13,750.0","4.60M","1.44%"
"09/05/2023","13,900.0","14,200.0","14,200.0","13,900.0","3.40M","0.00%"
"08/31/2023","13,900.0","13,850.0","13,900.0","13,650.0","3.68M","0.72%"
"08/30/2023","13,800.0","13,350.0","13,950.0","13,250.0","5.27M","4.15%"
"08/29/2023","13,250.0","13,650.0","13,650.0","13,100.0","3.25M","-1.49%"
"08/28/2023","13,450.0","13,650.0","13,750.0","13,300.0","3.45M","0.37%"
"08/25/2023","13,400.0","12,800.0","13,400.0","12,650.0","3.69M","6.77%"
"08/24/2023","12,550.0","12,300.0","12,550.0","12,250.0","2.56M","2.03%"
"08/23/2023","12,300.0","12,650.0","12,650.0","12,300.0","1.32M","-1.20%"
"08/22/2023","12,450.0","12,450.0","12,500.0","11,700.0","3.17M","1.22%"
"08/21/2023","12,300.0","12,500.0","12,800.0","12,050.0","4.16M","-5.02%"
"08/18/2023","12,950.0","13,800.0","13,850.0","12,950.0","9.03M","-6.83%"
"08/17/2023","13,900.0","14,050.0","14,200.0","13,900.0","4.03M","-1.07%"
"08/16/2023","14,050.0","14,400.0","14,400.0","14,050.0","2.87M","-1.75%"
"08/15/2023","14,300.0","14,300.0","14,500.0","14,150.0","3.10M","0.70%"
"08/14/2023","14,200.0","14,100.0","14,350.0","14,000.0","3.16M","1.43%"
"08/11/2023","14,000.0","14,250.0","14,300.0","13,800.0","5.43M","-1.75%"
"08/10/2023","14,250.0","14,800.0","14,800.0","14,250.0","4.84M","-2.40%"
"08/09/2023","14,600.0","14,600.0","14,900.0","14,550.0","3.50M","-1.35%"
"08/08/2023","14,800.0","15,000.0","15,300.0","14,700.0","5.91M","0.68%"
"08/07/2023","14,700.0","14,200.0","14,700.0","14,150.0","8.28M","4.26%"
"08/04/2023","14,100.0","14,150.0","14,150.0","13,950.0","3.89M","0.71%"
"08/03/2023","14,000.0","13,950.0","14,250.0","13,900.0","4.23M","0.36%"
"08/02/2023","13,950.0","13,900.0","14,050.0","13,800.0","3.59M","0.36%"
"08/01/2023","13,900.0","14,100.0","14,200.0","13,900.0","4.76M","-1.42%"
"07/31/2023","14,100.0","14,300.0","14,400.0","14,100.0","3.53M","-1.05%"
"07/28/2023","14,250.0","14,100.0","14,500.0","14,100.0","4.42M","1.06%"
"07/27/2023","14,100.0","14,100.0","14,250.0","13,900.0","4.98M","0.00%"
"07/26/2023","14,100.0","14,200.0","14,300.0","14,000.0","3.39M","-0.70%"
"07/25/2023","14,200.0","14,350.0","14,750.0","14,200.0","4.84M","-0.35%"
"07/24/2023","14,250.0","14,250.0","14,500.0","14,100.0","5.12M","0.71%"
"07/21/2023","14,150.0","13,950.0","14,200.0","13,900.0","3.99M","1.80%"
"07/20/2023","13,900.0","13,800.0","14,100.0","13,800.0","3.96M","1.83%"
"07/19/2023","13,650.0","13,900.0","13,950.0","13,650.0","5.27M","-1.09%"
"07/18/2023","13,800.0","14,200.0","14,200.0","13,700.0","6.15M","-2.82%"
"07/17/2023","14,200.0","14,300.0","14,500.0","14,100.0","3.51M","-0.70%"
"07/14/2023","14,300.0","14,000.0","14,400.0","13,900.0","7.08M","2.51%"
"07/13/2023","13,950.0","14,000.0","14,200.0","13,850.0","3.78M","1.09%"
"07/12/2023","13,800.0","14,000.0","14,050.0","13,650.0","4.60M","-0.72%"
"07/11/2023","13,900.0","14,100.0","14,300.0","13,800.0","6.01M","-0.71%"
"07/10/2023","14,000.0","14,200.0","14,300.0","13,850.0","5.99M","-0.36%"
"07/07/2023","14,050.0","13,600.0","14,400.0","13,450.0","7.03M","2.93%"
"07/06/2023","13,650.0","13,750.0","13,950.0","13,400.0","4.20M","-0.73%"
"07/05/2023","13,750.0","13,400.0","13,950.0","13,200.0","11.77M","3.00%"
"07/04/2023","13,350.0","13,300.0","13,450.0","13,100.0","3.07M","0.75%"
"07/03/2023","13,250.0","12,950.0","13,400.0","12,850.0","3.43M","3.11%"
"06/30/2023","12,850.0","13,100.0","13,150.0","12,800.0","4.16M","-1.91%"
"06/29/2023","13,100.0","13,550.0","13,550.0","13,100.0","5.00M","-3.68%"
"06/28/2023","13,600.0","13,600.0","14,000.0","13,500.0","7.69M","1.49%"
"06/27/2023","13,400.0","13,250.0","13,650.0","13,150.0","4.29M","1.90%"
"06/26/2023","13,150.0","13,250.0","13,450.0","12,850.0","5.20M","-1.13%"
"06/23/2023","13,300.0","13,500.0","13,850.0","13,300.0","5.65M","-0.75%"
