"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2024","14,050.00","13,850.00","14,050.00","13,850.00","8.77M","1.44%"
"01/18/2024","13,850.00","13,850.00","13,850.00","13,700.00","4.36M","0.36%"
"01/17/2024","13,800.00","13,900.00","13,950.00","13,800.00","5.40M","-0.72%"
"01/16/2024","13,900.00","13,700.00","13,900.00","13,650.00","4.58M","1.46%"
"01/15/2024","13,700.00","14,050.00","14,150.00","13,700.00","4.83M","-1.79%"
"01/12/2024","13,950.00","13,800.00","14,000.00","13,650.00","9.40M","0.36%"
"01/11/2024","13,900.00","13,850.00","14,200.00","13,800.00","13.25M","0.36%"
"01/10/2024","13,850.00","13,800.00","13,950.00","13,700.00","12.41M","0.36%"
"01/09/2024","13,800.00","13,650.00","13,900.00","13,550.00","12.40M","1.47%"
"01/08/2024","13,600.00","13,600.00","13,750.00","13,400.00","8.59M","0.37%"
"01/05/2024","13,550.00","13,550.00","13,600.00","13,400.00","7.24M","0.74%"
"01/04/2024","13,450.00","13,050.00","13,800.00","13,050.00","22.67M","3.07%"
"01/03/2024","13,050.00","12,950.00","13,050.00","12,800.00","6.68M","0.38%"
"01/02/2024","13,000.00","13,000.00","13,050.00","12,900.00","4.52M","0.00%"
"12/29/2023","13,000.00","12,800.00","13,050.00","12,750.00","6.73M","1.56%"
"12/28/2023","12,800.00","12,700.00","12,850.00","12,700.00","2.74M","0.00%"
"12/27/2023","12,800.00","12,700.00","12,800.00","12,650.00","5.12M","0.79%"
"12/26/2023","12,700.00","12,700.00","12,750.00","12,600.00","2.68M","0.00%"
"12/25/2023","12,700.00","12,600.00","12,750.00","12,600.00","3.39M","0.79%"
"12/22/2023","12,600.00","12,600.00","12,700.00","12,500.00","2.55M","0.00%"
"12/21/2023","12,600.00","12,550.00","12,650.00","12,500.00","2.30M","0.40%"
"12/20/2023","12,550.00","12,700.00","12,700.00","12,500.00","2.82M","-0.79%"
"12/19/2023","12,650.00","12,650.00","12,700.00","12,500.00","2.74M","-0.39%"
"12/18/2023","12,700.00","12,700.00","12,750.00","12,550.00","2.54M","0.00%"
"12/15/2023","12,700.00","12,800.00","12,800.00","12,650.00","2.16M","-0.78%"
"12/14/2023","12,800.00","12,800.00","12,900.00","12,650.00","2.47M","0.39%"
"12/13/2023","12,750.00","13,000.00","13,000.00","12,700.00","4.40M","-1.54%"
"12/12/2023","12,950.00","13,000.00","13,000.00","12,900.00","2.28M","0.00%"
