"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2024","16,400","16,550","16,550","16,250","8.54M","0.61%"
"01/18/2024","16,300","16,400","16,600","16,250","9.81M","0.62%"
"01/17/2024","16,200","16,450","16,600","16,100","25.32M","-2.70%"
"01/16/2024","16,650","16,200","16,700","16,150","8.61M","2.15%"
"01/15/2024","16,300","16,500","16,600","16,300","7.57M","0.00%"
"01/12/2024","16,300","16,650","16,750","16,050","28.03M","-3.26%"
"01/11/2024","16,850","16,900","17,050","16,750","11.97M","-0.30%"
"01/10/2024","16,900","17,050","17,200","16,800","13.26M","-0.88%"
"01/09/2024","17,050","17,400","17,450","17,000","12.91M","-1.45%"
"01/08/2024","17,300","17,050","17,500","17,000","23.76M","2.67%"
"01/05/2024","16,850","16,850","17,050","16,800","9.15M","0.00%"
"01/04/2024","16,850","16,900","17,150","16,850","21.53M","0.30%"
"01/03/2024","16,800","16,700","16,850","16,650","8.77M","0.30%"
"01/02/2024","16,750","17,200","17,300","16,700","13.55M","-1.76%"
"12/29/2023","17,050","16,700","17,250","16,700","24.84M","2.10%"
"12/28/2023","16,700","16,750","16,950","16,700","11.52M","-0.60%"
"12/27/2023","16,800","16,900","17,000","16,750","16.80M","-0.59%"
"12/26/2023","16,900","17,000","17,150","16,800","8.80M","0.00%"
"12/25/2023","16,900","16,600","17,100","16,550","14.52M","1.81%"
"12/22/2023","16,600","16,650","16,900","16,500","7.46M","0.00%"
"12/21/2023","16,600","16,600","16,700","16,500","8.04M","-0.90%"
"12/20/2023","16,750","16,800","16,900","16,600","7.07M","-0.30%"
"12/19/2023","16,800","16,400","16,800","16,200","11.52M","2.44%"
"12/18/2023","16,400","16,950","16,950","16,400","9.52M","-2.96%"
"12/15/2023","16,900","16,300","17,100","15,800","38.52M","3.68%"
"12/14/2023","16,300","17,200","17,250","16,250","30.61M","-4.12%"
"12/13/2023","17,000","17,850","17,850","17,000","19.98M","-3.95%"
"12/12/2023","17,700","17,850","17,850","17,600","10.96M","0.57%"
"12/11/2023","17,600","17,600","17,750","17,350","15.16M","0.00%"
