"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2024","13,000.0","13,200.0","13,350.0","12,950.0","4.94M","-1.14%"
"01/18/2024","13,150.0","13,150.0","13,250.0","13,000.0","5.42M","0.77%"
"01/17/2024","13,050.0","13,100.0","13,250.0","13,000.0","5.17M","-0.38%"
"01/16/2024","13,100.0","12,800.0","13,100.0","12,750.0","3.48M","1.55%"
"01/15/2024","12,900.0","12,950.0","13,100.0","12,750.0","4.36M","1.18%"
"01/12/2024","12,750.0","13,000.0","13,050.0","12,600.0","11.28M","-2.30%"
"01/11/2024","13,050.0","13,200.0","13,400.0","13,000.0","8.29M","-1.14%"
"01/10/2024","13,200.0","13,500.0","13,600.0","13,200.0","7.68M","-2.22%"
"01/09/2024","13,500.0","13,300.0","13,850.0","13,300.0","14.80M","1.89%"
"01/08/2024","13,250.0","13,250.0","13,450.0","13,200.0","7.19M","0.76%"
"01/05/2024","13,150.0","13,100.0","13,300.0","13,050.0","7.47M","0.77%"
"01/04/2024","13,050.0","13,050.0","13,350.0","13,050.0","8.80M","0.00%"
"01/03/2024","13,050.0","13,000.0","13,150.0","12,900.0","7.63M","0.38%"
"01/02/2024","13,000.0","13,250.0","13,350.0","12,950.0","6.79M","-1.52%"
"12/29/2023","13,200.0","13,300.0","13,350.0","13,100.0","6.52M","-0.38%"
"12/28/2023","13,250.0","13,300.0","13,450.0","13,200.0","6.84M","0.00%"
"12/27/2023","13,250.0","13,200.0","13,600.0","13,200.0","11.61M","0.38%"
"12/26/2023","13,200.0","13,300.0","13,300.0","13,100.0","5.67M","0.38%"
"12/25/2023","13,150.0","13,150.0","13,300.0","13,100.0","8.13M","0.00%"
"12/22/2023","13,150.0","13,250.0","13,500.0","12,950.0","9.07M","-0.38%"
"12/21/2023","13,200.0","13,100.0","13,500.0","13,000.0","12.19M","0.38%"
"12/20/2023","13,150.0","12,950.0","13,150.0","12,950.0","7.52M","2.33%"
"12/19/2023","12,850.0","13,050.0","13,150.0","12,650.0","6.23M","-0.39%"
"12/18/2023","12,900.0","12,600.0","13,150.0","12,600.0","10.29M","2.79%"
"12/15/2023","12,550.0","12,500.0","12,750.0","12,400.0","6.79M","0.40%"
"12/14/2023","12,500.0","12,800.0","12,850.0","12,400.0","6.97M","-1.19%"
"12/13/2023","12,650.0","12,950.0","13,250.0","12,600.0","10.55M","-2.32%"
"12/12/2023","12,950.0","12,950.0","13,050.0","12,800.0","8.04M","1.17%"
"12/11/2023","12,800.0","13,050.0","13,150.0","12,800.0","7.44M","-1.16%"
"12/08/2023","12,950.0","12,850.0","13,300.0","12,650.0","15.10M","1.97%"
"12/07/2023","12,700.0","13,000.0","13,150.0","12,500.0","13.82M","-1.17%"
"12/06/2023","12,850.0","12,550.0","12,900.0","12,550.0","8.70M","2.80%"
"12/05/2023","12,500.0","12,800.0","12,850.0","12,500.0","7.52M","-1.96%"
"12/04/2023","12,750.0","12,400.0","12,900.0","12,400.0","10.86M","4.51%"
"12/01/2023","12,200.0","12,450.0","12,500.0","12,150.0","5.37M","-2.01%"
"11/30/2023","12,450.0","12,250.0","12,450.0","12,150.0","9.10M","1.63%"
"11/29/2023","12,250.0","12,150.0","12,350.0","12,050.0","5.39M","1.66%"
"11/28/2023","12,050.0","12,000.0","12,100.0","11,550.0","8.56M","1.26%"
"11/27/2023","11,900.0","12,300.0","12,450.0","11,900.0","5.52M","-3.25%"
"11/24/2023","12,300.0","12,250.0","12,400.0","11,600.0","12.98M","1.65%"
"11/23/2023","12,100.0","13,100.0","13,400.0","12,100.0","15.52M","-6.92%"
"11/22/2023","13,000.0","12,900.0","13,200.0","12,800.0","10.47M","0.78%"
"11/21/2023","12,900.0","13,100.0","13,200.0","12,850.0","10.07M","0.00%"
"11/20/2023","12,900.0","12,300.0","13,050.0","12,300.0","13.44M","2.38%"
"11/17/2023","12,600.0","12,700.0","13,150.0","12,450.0","23.41M","0.00%"
"11/16/2023","12,600.0","12,100.0","12,600.0","12,100.0","7.42M","3.28%"
"11/15/2023","12,200.0","12,650.0","12,650.0","12,150.0","9.50M","-0.41%"
"11/14/2023","12,250.0","12,500.0","12,700.0","12,200.0","8.67M","-0.41%"
"11/13/2023","12,300.0","12,450.0","12,600.0","12,050.0","8.26M","-0.40%"
"11/10/2023","12,350.0","11,950.0","12,600.0","11,800.0","15.79M","2.92%"
"11/09/2023","12,000.0","12,000.0","12,450.0","11,950.0","12.02M","1.27%"
"11/08/2023","11,850.0","11,100.0","11,850.0","11,100.0","10.50M","6.76%"
"11/07/2023","11,100.0","11,300.0","11,400.0","11,100.0","4.61M","-2.20%"
"11/06/2023","11,350.0","11,400.0","11,400.0","11,050.0","3.87M","1.34%"
"11/03/2023","11,200.0","11,500.0","11,500.0","11,200.0","5.55M","-0.44%"
"11/02/2023","11,250.0","10,850.0","11,250.0","10,700.0","5.96M","6.64%"
"11/01/2023","10,550.0","10,200.0","10,700.0","9,900.0","8.89M","3.94%"
"10/31/2023","10,150.0","11,000.0","11,100.0","10,150.0","9.81M","-6.88%"
