"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2024","17,350.0","17,800.0","17,900.0","17,300.0","26.83M","-0.57%"
"01/18/2024","17,450.0","17,500.0","17,700.0","17,350.0","19.27M","0.00%"
"01/17/2024","17,450.0","17,150.0","17,950.0","17,050.0","52.83M","2.35%"
"01/16/2024","17,050.0","16,650.0","17,050.0","16,600.0","17.25M","2.10%"
"01/15/2024","16,700.0","17,100.0","17,200.0","16,700.0","21.28M","-1.47%"
"01/12/2024","16,950.0","17,050.0","17,350.0","16,850.0","36.63M","-1.45%"
"01/11/2024","17,200.0","16,900.0","17,300.0","16,800.0","42.52M","2.99%"
"01/10/2024","16,700.0","16,950.0","17,000.0","16,600.0","18.71M","-1.47%"
"01/09/2024","16,950.0","17,050.0","17,300.0","16,900.0","25.70M","0.30%"
"01/08/2024","16,900.0","16,900.0","17,150.0","16,750.0","20.21M","0.90%"
"01/05/2024","16,750.0","16,900.0","16,900.0","16,600.0","12.79M","0.00%"
"01/04/2024","16,750.0","16,700.0","17,250.0","16,700.0","31.65M","0.60%"
"01/03/2024","16,650.0","16,350.0","16,650.0","16,350.0","13.67M","1.52%"
"01/02/2024","16,400.0","17,300.0","17,350.0","16,150.0","51.74M","-4.09%"
"12/29/2023","17,100.0","17,200.0","17,250.0","17,050.0","13.10M","0.00%"
"12/28/2023","17,100.0","17,050.0","17,300.0","17,000.0","17.09M","0.00%"
"12/27/2023","17,100.0","17,200.0","17,450.0","17,100.0","19.91M","0.00%"
"12/26/2023","17,100.0","17,050.0","17,200.0","16,950.0","15.36M","1.18%"
"12/25/2023","16,900.0","16,750.0","17,100.0","16,600.0","19.44M","1.20%"
"12/22/2023","16,700.0","16,900.0","17,150.0","16,650.0","19.62M","-0.89%"
"12/21/2023","16,850.0","16,700.0","16,900.0","16,700.0","10.02M","-0.59%"
"12/20/2023","16,950.0","16,900.0","17,150.0","16,700.0","17.48M","0.89%"
"12/19/2023","16,800.0","16,400.0","16,800.0","16,350.0","16.40M","2.44%"
"12/18/2023","16,400.0","16,600.0","16,650.0","16,350.0","12.67M","-0.61%"
"12/15/2023","16,500.0","16,400.0","16,900.0","16,300.0","24.04M","0.30%"
"12/14/2023","16,450.0","16,850.0","16,900.0","16,400.0","24.07M","-0.90%"
"12/13/2023","16,600.0","17,300.0","17,350.0","16,600.0","28.22M","-2.92%"
"12/12/2023","17,100.0","17,200.0","17,350.0","17,050.0","12.59M","0.00%"
"12/11/2023","17,100.0","17,000.0","17,300.0","16,600.0","41.14M","-0.58%"
"12/08/2023","17,200.0","17,500.0","17,600.0","17,000.0","23.88M","-1.43%"
"12/07/2023","17,450.0","18,050.0","18,100.0","17,000.0","73.89M","-3.32%"
"12/06/2023","18,050.0","17,700.0","18,150.0","17,600.0","29.38M","1.98%"
"12/05/2023","17,700.0","17,800.0","17,950.0","17,600.0","32.03M","-0.56%"
"12/04/2023","17,800.0","17,150.0","17,850.0","17,100.0","68.84M","6.59%"
"12/01/2023","16,700.0","16,600.0","16,850.0","16,300.0","29.42M","1.83%"
"11/30/2023","16,400.0","16,350.0","16,900.0","16,350.0","38.61M","-0.30%"
"11/29/2023","16,450.0","16,400.0","16,550.0","16,200.0","24.05M","1.23%"
"11/28/2023","16,250.0","16,100.0","16,300.0","15,500.0","35.57M","0.93%"
"11/27/2023","16,100.0","16,600.0","16,600.0","16,050.0","22.10M","-3.01%"
"11/24/2023","16,600.0","16,300.0","16,600.0","15,600.0","56.86M","3.75%"
"11/23/2023","16,000.0","17,400.0","17,500.0","16,000.0","45.21M","-6.98%"
"11/22/2023","17,200.0","17,000.0","17,300.0","16,750.0","42.75M","1.18%"
"11/21/2023","17,000.0","17,100.0","17,250.0","16,750.0","29.38M","0.59%"
"11/20/2023","16,900.0","15,800.0","17,000.0","15,800.0","49.14M","4.32%"
"11/17/2023","16,200.0","16,800.0","17,050.0","16,000.0","61.24M","-3.57%"
"11/16/2023","16,800.0","16,150.0","16,800.0","16,050.0","35.44M","2.75%"
"11/15/2023","16,350.0","16,850.0","16,900.0","16,100.0","40.18M","1.24%"
"11/14/2023","16,150.0","16,400.0","16,700.0","16,000.0","34.91M","1.25%"
"11/13/2023","15,950.0","15,950.0","16,200.0","15,250.0","45.32M","1.27%"
"11/10/2023","15,750.0","15,400.0","16,450.0","15,350.0","56.22M","0.96%"
"11/09/2023","15,600.0","15,150.0","15,600.0","15,000.0","61.69M","6.85%"
"11/08/2023","14,600.0","13,650.0","14,600.0","13,550.0","46.78M","6.96%"
"11/07/2023","13,650.0","13,650.0","14,100.0","13,500.0","29.53M","-1.44%"
"11/06/2023","13,850.0","13,850.0","13,900.0","13,500.0","26.57M","1.47%"
"11/03/2023","13,650.0","13,800.0","14,100.0","13,400.0","39.57M","0.00%"
"11/02/2023","13,650.0","13,200.0","13,650.0","13,050.0","34.19M","6.64%"
"11/01/2023","12,800.0","12,250.0","12,800.0","11,900.0","38.90M","6.22%"
"10/31/2023","12,050.0","12,600.0","13,000.0","11,800.0","36.02M","-4.74%"
"10/30/2023","12,650.0","13,300.0","13,550.0","12,650.0","21.23M","-6.99%"
"10/27/2023","13,600.0","14,000.0","14,000.0","12,900.0","32.41M","-0.37%"
"10/26/2023","13,650.0","14,250.0","14,300.0","13,650.0","46.46M","-6.83%"
"10/25/2023","14,650.0","14,800.0","15,250.0","14,600.0","24.90M","-0.34%"
"10/24/2023","14,700.0","14,600.0","14,800.0","14,350.0","17.87M","2.08%"
"10/23/2023","14,400.0","15,000.0","15,100.0","14,300.0","20.97M","-4.00%"
"10/20/2023","15,000.0","14,450.0","15,100.0","13,800.0","27.97M","4.17%"
"10/19/2023","14,400.0","14,950.0","15,150.0","14,350.0","23.73M","-3.03%"
"10/18/2023","14,850.0","14,700.0","15,300.0","14,300.0","48.85M","3.85%"
"10/17/2023","14,300.0","15,500.0","15,800.0","14,300.0","21.89M","-6.54%"
"10/16/2023","15,300.0","15,700.0","15,850.0","15,300.0","19.24M","-2.55%"
"10/13/2023","15,700.0","15,500.0","16,050.0","15,250.0","27.36M","-1.26%"
"10/12/2023","15,900.0","16,300.0","16,300.0","15,750.0","20.76M","-0.93%"
"10/11/2023","16,050.0","15,600.0","16,050.0","15,300.0","22.64M","3.22%"
"10/10/2023","15,550.0","15,700.0","16,150.0","15,500.0","31.68M","0.65%"
"10/09/2023","15,450.0","15,250.0","15,550.0","15,050.0","25.32M","1.98%"
"10/06/2023","15,150.0","14,150.0","15,150.0","14,150.0","37.83M","6.69%"
"10/05/2023","14,200.0","15,250.0","15,450.0","14,200.0","23.18M","-6.27%"
"10/04/2023","15,150.0","14,050.0","15,700.0","14,050.0","44.96M","1.68%"
"10/03/2023","14,900.0","15,650.0","15,800.0","14,900.0","37.15M","-6.88%"
"10/02/2023","16,000.0","15,800.0","16,500.0","15,650.0","30.48M","1.59%"
"09/29/2023","15,750.0","16,150.0","16,350.0","15,700.0","20.66M","-0.94%"
"09/28/2023","15,900.0","16,450.0","16,450.0","15,700.0","31.38M","-3.93%"
"09/27/2023","16,550.0","15,800.0","16,550.0","14,800.0","47.83M","5.41%"
