"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2024","11,700.00","12,000.00","12,000.00","11,600.00","1.35M","-0.85%"
"01/18/2024","11,800.00","11,850.00","12,100.00","11,650.00","2.87M","0.85%"
"01/17/2024","11,700.00","11,600.00","11,900.00","11,550.00","2.29M","2.63%"
"01/16/2024","11,400.00","11,300.00","11,450.00","11,250.00","557.40K","0.88%"
"01/15/2024","11,300.00","11,400.00","11,650.00","11,300.00","1.06M","0.00%"
"01/12/2024","11,300.00","11,550.00","11,700.00","10,950.00","2.45M","-2.59%"
"01/11/2024","11,600.00","11,900.00","11,900.00","11,550.00","1.08M","-1.69%"
"01/10/2024","11,800.00","11,400.00","12,150.00","11,400.00","5.14M","3.51%"
"01/09/2024","11,400.00","11,450.00","11,500.00","11,300.00","1.07M","0.44%"
"01/08/2024","11,350.00","11,400.00","11,500.00","11,300.00","1.41M","-0.44%"
"01/05/2024","11,400.00","11,600.00","11,600.00","11,350.00","1.06M","-0.87%"
"01/04/2024","11,500.00","11,700.00","11,800.00","11,450.00","1.86M","-0.86%"
"01/03/2024","11,600.00","11,300.00","11,600.00","11,150.00","1.22M","2.65%"
"01/02/2024","11,300.00","11,600.00","11,600.00","11,200.00","1.32M","-0.88%"
"12/29/2023","11,400.00","11,650.00","11,650.00","11,400.00","1.27M","-1.30%"
"12/28/2023","11,550.00","11,500.00","11,650.00","11,450.00","1.43M","0.00%"
"12/27/2023","11,550.00","11,700.00","11,750.00","11,400.00","1.66M","-0.86%"
"12/26/2023","11,650.00","11,800.00","12,200.00","11,550.00","1.90M","-1.27%"
"12/25/2023","11,800.00","11,250.00","11,800.00","11,250.00","3.64M","6.31%"
"12/22/2023","11,100.00","11,350.00","11,400.00","11,050.00","1.04M","-1.33%"
"12/21/2023","11,250.00","11,200.00","11,500.00","11,100.00","1.37M","0.00%"
"12/20/2023","11,250.00","10,950.00","11,300.00","10,900.00","1.71M","3.69%"
"12/19/2023","10,850.00","10,800.00","10,850.00","10,600.00","737.60K","2.36%"
"12/18/2023","10,600.00","10,600.00","10,850.00","10,550.00","802.40K","-1.40%"
"12/15/2023","10,750.00","10,800.00","10,900.00","10,600.00","776.40K","-0.46%"
"12/14/2023","10,800.00","11,050.00","11,100.00","10,800.00","963.10K","-1.37%"
